City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,vilyuchinsk,52.9306,158.4028,24.15,67,22,6.16,RU,1690159423
344,yung shue wan,22.2333,114.1167,32.41,80,95,1.65,HK,1690159659
345,lyubinskiy,55.1542,72.6925,16.82,93,6,2.79,RU,1690159659
346,pizarro,4.9533,-77.366,27.19,88,11,2.01,CO,1690159659
347,weno,7.4515,151.8468,28.11,77,100,4.46,FM,1690159659
348,udaipur,24.5712,73.6918,25.5,92,60,1.15,IN,1690159386
349,ancud,-41.8697,-73.8203,4.11,84,100,3.81,CL,1690159659
350,kirkwood,38.5834,-90.4068,30.82,61,100,4.63,US,1690159660
351,oamaru,-45.0784,170.9801,10.77,97,99,2.46,NZ,1690159660
352,akureyri,65.6835,-18.0878,10.96,87,100,0.0,IS,1690159660
353,raja,8.4596,25.678,21.95,83,86,1.15,SS,1690159660
354,mount gambier,-37.8333,140.7667,13.35,71,94,2.72,AU,1690159660
355,talcahuano,-36.7167,-73.1167,7.82,93,19,1.03,CL,1690159660
356,inebolu,41.9747,33.7608,21.34,79,0,2.76,TR,1690159661
357,barra de santo antonio,-9.4047,-35.5072,22.6,83,46,4.83,BR,1690159661
358,dwarka,22.2394,68.9678,27.23,86,100,3.57,IN,1690159661
359,island harbour,50.724,-1.2758,16.63,91,75,1.34,GB,1690159661
360,shakawe,-18.3667,21.85,13.17,33,36,2.5,BW,1690159661
361,fortuna,40.5982,-124.1573,19.25,77,20,7.2,US,1690159399
362,east london,-33.0153,27.9116,14.36,68,99,7.58,ZA,1690159661
